Digi-Key Part Number,Manufacturer Part Number,Quantity,notes,
160-1167-1-ND,LTST-C150CKT,2,led,
311-1.50KFRCT-ND,RC1206FR-071K5L,1,register,
311-10.0KFRCT-ND,RC1206FR-0710KL,4,register,
311-100FRCT-ND,RC1206FR-07100RL,1,register,
311-100KFRCT-ND,RC1206FR-07100KL,1,register,
311-1154-1-ND,CC1206JRNPO9BN220,2,cap,
311-1161-1-ND,CC1206JRNPO9BN101,1,cap,
311-1179-1-ND,CC1206KRX7R9BB104,4,cap,
311-1925-1-ND,CC1206JKX7R8BB105,2,cap,
311-1961-1-ND,CC1206KKX7R8BB475,1,cap,
311-499FRCT-ND,RC1206FR-07499RL,2,register445A32D16M00000-ND,445A32D16M00000,1,crystal,,
576-2999-1-ND,MIC5225-5.0YM5-TR,1,5V regulator,,
ATMEGA328P-AURCT-ND,ATMEGA328P-AU,1,atmega328,,
INMP401ACEZ-R7CT-ND,INMP401ACEZ-R7,1,digital microphone,,
LM3480IM3-5.0/NOPBCT-ND,LM3480IM3-5.0/NOPB,1,3.3V regulator,,
NDS355ANCT-ND,NDS355AN,1,mofset N,,
OPA344NACT-ND,OPA344NA/250,1,op amp(for mic),,
PCE3878CT-ND,EEE-1CA100SR,2,pol cap,,
PCE3886CT-ND,EEE-1CA330WR,1,pol cap,,
S1143E-36-ND,GBC36SGSN-M89,1,ftdi header,,
S5713-ND,NPPC042KFMS-RC,1,nrf female pin,,
SM4004PL-TPMSCT-ND,SM4004PL-TP,2,rectifier diode,,
SW262CT-ND,B3SN-3112P,1,switch ,,
,,
